epoch,max_len,erasure_pr,topographic_rho,pos_dis,bos_dis
1,5,0.0,0.08705816076646736,0.3765408331528306,0.2630304666236043
2,5,0.0,0.14359969688883742,0.44093453139066696,0.29431394860148424
3,5,0.0,0.17320070507266674,0.31508293449878694,0.16843037381768222
4,5,0.0,0.21486323694210804,0.34484265148639676,0.31129750311374665
5,5,0.0,0.23242197347737764,0.3578155994415283,0.19696830362081522
6,5,0.0,0.2327818652203062,0.30735986977815627,0.22682692259550094
7,5,0.0,0.24038603532851174,0.32361835092306135,0.21284237354993815
8,5,0.0,0.24455760307714022,0.2464241191744804,0.21056004464626307
9,5,0.0,0.25535062360140326,0.2037912771105766,0.199109274148941
10,5,0.0,0.24434398660343937,0.1644798323512077,0.17399396151304242
1,2,0.0,0.1616319368724275,0.3450513944029808,0.18464697748422618
2,2,0.0,0.250984967552496,0.45690496563911437,0.27115029096603394
3,2,0.0,0.3092888413537931,0.5532061070203781,0.2824849605560303
4,2,0.0,0.3192021619808793,0.4881723701953888,0.2546929895877838
5,2,0.0,0.34039584685307245,0.48164902329444886,0.2316409692168236
6,2,0.0,0.32649491117380264,0.4423799842596054,0.22177926748991011
7,2,0.0,0.3380190582892181,0.47358477413654326,0.24341525733470912
8,2,0.0,0.3326762099520747,0.44694000780582427,0.22188185676932334
9,2,0.0,0.3367037769409573,0.42048474252223966,0.2241567149758339
10,2,0.0,0.33721486416616053,0.44175578355789186,0.22510470300912858
1,10,0.0,0.13056533091896844,0.2501142999157309,0.1494588862173259
2,10,0.0,0.21095764745572887,0.43233123421669006,0.3215078070759773
3,10,0.0,0.22194935110210695,0.3760677307844162,0.24835171401500702
4,10,0.0,0.23526950342422764,0.43415932059288026,0.2739202916622162
5,10,0.0,0.24746117968600828,0.3984743803739548,0.1984073385596275
6,10,0.0,0.2331423462440881,0.426980035007,0.212189906835556
7,10,0.0,0.23422733608477433,0.36692925691604616,0.205765950679779
8,10,0.0,0.24916217440888971,0.3361344993114471,0.14779510200023646
9,10,0.0,0.2434230358433612,0.3382977247238159,0.19788575172424316
10,10,0.0,0.24423411339377177,0.3165862992405891,0.1464691489934921
1,5,0.05,0.09322222568024548,0.2536345101892948,0.16187090682797134
2,5,0.05,0.15124439590337876,0.3041210699826479,0.15843445379286997
3,5,0.05,0.20081629028182402,0.33851233422756194,0.2182562872767448
4,5,0.05,0.1916978871961076,0.28376840353012084,0.13662237673997873
5,5,0.05,0.1972955245958022,0.27006322443485253,0.14962545484304424
6,5,0.05,0.20590110037594486,0.3109625786542892,0.1315203785896301
7,5,0.05,0.21852882930419426,0.2803011298179626,0.14093419462442394
8,5,0.05,0.20558765679220511,0.2699585944414139,0.12827011719346043
9,5,0.05,0.22880187455331455,0.2479105025529861,0.12994679957628247
10,5,0.05,0.23212911510330403,0.22349039912223811,0.12986648827791208
1,2,0.05,0.14502963215279865,0.26896806452423333,0.14384797215461725
2,2,0.05,0.23187870454831896,0.36527288258075713,0.22738926261663434
3,2,0.05,0.26653079176717165,0.3185251384973526,0.13067002221941942
4,2,0.05,0.27153121590917617,0.32338519096374513,0.12107874378561967
5,2,0.05,0.2851098566738911,0.3273903042078018,0.155312368273735
6,2,0.05,0.29603899860571303,0.33548914045095446,0.13342427536845208
7,2,0.05,0.30019697428758657,0.32635270059108734,0.13012863397598262
8,2,0.05,0.29394011712692625,0.3229155749082565,0.13091670125722882
9,2,0.05,0.28921408932469517,0.3126819297671318,0.12750080227851862
10,2,0.05,0.29383572445230716,0.32633754163980483,0.1366044700145721
1,10,0.05,0.13124422357160856,0.22160783065482975,0.11172522613778706
2,10,0.05,0.20812609330342258,0.41971818208694456,0.2138137325644493
3,10,0.05,0.20459110693100122,0.3755041003227234,0.22356027215719224
4,10,0.05,0.19772409282078365,0.34842364192008973,0.16682390719652176
5,10,0.05,0.21826196335063502,0.3557204842567444,0.17378923892974849
6,10,0.05,0.2144966595451951,0.3355179488658905,0.1546320296823978
7,10,0.05,0.21634848270021192,0.3003157198429107,0.17303716838359828
8,10,0.05,0.21716501390815712,0.2857284545898437,0.1628074541687965
9,10,0.05,0.22007899779553894,0.3070420414209366,0.1624424114823341
10,10,0.05,0.2234309585612217,0.25852593779563904,0.14687114655971523
1,5,0.1,0.09438692773971794,0.22982024326920505,0.15766097437590357
2,5,0.1,0.1471083729618854,0.2782606340944767,0.15101177822798487
3,5,0.1,0.1937897545027724,0.3124437570571899,0.20921216011047364
4,5,0.1,0.18522738396193444,0.2627673774957657,0.1311492070555686
5,5,0.1,0.19051229497924993,0.25257284939289093,0.14423869550228116
6,5,0.1,0.19867677751545096,0.2888123482465744,0.13114145845174788
7,5,0.1,0.2101400554124589,0.2619012922048568,0.1375414535403251
8,5,0.1,0.19699750895803186,0.2518258631229401,0.1263821817934513
9,5,0.1,0.2225522724560412,0.2318766593933105,0.12957275360822673
10,5,0.1,0.22540769825507692,0.2113352477550506,0.12996759265661234
1,2,0.1,0.1324906788962294,0.23602366261184216,0.13236285671591758
2,2,0.1,0.21270555658439516,0.3288295030593872,0.21296878457069393
3,2,0.1,0.2448021677750149,0.28779789358377456,0.12343663945794099
4,2,0.1,0.25149140034230605,0.2971589744091033,0.11364682167768476
5,2,0.1,0.2626475290215657,0.3006152585148811,0.1473676279187202
6,2,0.1,0.27304405445394164,0.30747026205062866,0.12792161777615543
7,2,0.1,0.2782037193061283,0.3010876506567001,0.1246105939149856
8,2,0.1,0.2714016202720896,0.29749102890491486,0.12542909979820246
9,2,0.1,0.26856105433977956,0.2905464053153991,0.12180921956896776
10,2,0.1,0.2705781225879848,0.30258330404758454,0.1293519541621208
1,10,0.1,0.13021766316417344,0.20681601325049997,0.10770885944366448
2,10,0.1,0.20335840953141995,0.3985048085451126,0.207697232067585
3,10,0.1,0.2010101763857976,0.35555397570133207,0.21546888202428818
4,10,0.1,0.19521120262387076,0.3340607315301895,0.16221757829189293
5,10,0.1,0.21440754665368883,0.33739571273326874,0.16846970990300178
6,10,0.1,0.21085342473405477,0.3182909741997718,0.15278787538409228
7,10,0.1,0.2118156731921955,0.28795260190963745,0.16934482157230377
8,10,0.1,0.2128999371339504,0.2735794067382812,0.1620521858334541
9,10,0.1,0.21710284488648743,0.2916788518428802,0.16042955666780467
10,10,0.1,0.2187789571199447,0.24241593480110168,0.1458033919334411
1,5,0.15,0.09068212302775029,0.21316666528582573,0.15242816817481067
2,5,0.15,0.13864101773295295,0.25854542702436445,0.14457054296508426
3,5,0.15,0.1855557780453391,0.29303947687149046,0.20081447213888168
4,5,0.15,0.17700066265090436,0.24806726872920987,0.12444657906889911
5,5,0.15,0.18194850595729464,0.23947055637836456,0.14014021903276438
6,5,0.15,0.18981471389897667,0.27311602532863616,0.127885553240776
7,5,0.15,0.20131567371349018,0.2484205484390259,0.13495766520500177
8,5,0.15,0.19052975671627131,0.23763521611690522,0.12487735375761984
9,5,0.15,0.2138657724394542,0.22031078934669496,0.12676643878221508
10,5,0.15,0.21582677192257038,0.2018047511577606,0.12973447293043133
1,2,0.15,0.12383826014247461,0.21605962384492158,0.12749811783432957
2,2,0.15,0.19482996004857536,0.30068293809890745,0.20109711885452267
3,2,0.15,0.22154482720821495,0.2658005699515342,0.11832813769578927
4,2,0.15,0.22951519156649888,0.2766427427530288,0.10758157745003696
5,2,0.15,0.2356104281225105,0.27972148358821863,0.14145190939307206
6,2,0.15,0.25079903059738246,0.28921869993209837,0.12283834218978877
7,2,0.15,0.2543582582283716,0.28269578814506524,0.11972804516553873
8,2,0.15,0.24785485672286373,0.2804218336939811,0.11895690560340874
9,2,0.15,0.24361414438557666,0.2713636964559555,0.11548067331314082
10,2,0.15,0.24512339397127833,0.2841211885213852,0.12443438768386836
1,10,0.15,0.12787138989113106,0.1970241361996159,0.10583746184129261
2,10,0.15,0.19846488821080288,0.38284567594528196,0.21070424020290374
3,10,0.15,0.1968540807449827,0.3415839821100235,0.2097985297441482
4,10,0.15,0.19283266422736672,0.3235560774803162,0.15797640830278392
5,10,0.15,0.2106720702057852,0.32577894628047943,0.16543739587068557
6,10,0.15,0.20768634348828763,0.3067591264843941,0.1496854349970817
7,10,0.15,0.20738829398541977,0.2796720027923584,0.16611299216747277
8,10,0.15,0.20785186668351852,0.26557079255580895,0.16000962853431702
9,10,0.15,0.21372938361228372,0.2811406105756759,0.16160831004381176
10,10,0.15,0.21313827386184597,0.23009396195411677,0.14155958890914916
1,5,0.2,0.08771839618294579,0.1992146440315991,0.14714101590216155
2,5,0.2,0.13357046300347813,0.24394306633621454,0.13897475767298598
3,5,0.2,0.17753632423774865,0.27725626826286315,0.19308075308799738
4,5,0.2,0.1701212247801925,0.2358773589134216,0.12042408585548396
5,5,0.2,0.1722702353629936,0.22942659556865688,0.13705987632274624
6,5,0.2,0.18190979729301182,0.26098009347915646,0.12555644810199734
7,5,0.2,0.1917361752726412,0.23662924766540527,0.13088186681270597
8,5,0.2,0.18139017494575965,0.22752529680728908,0.12274411395192142
9,5,0.2,0.20435481742897302,0.21058484613895417,0.12485294789075847
10,5,0.2,0.20490993439123506,0.1939247995615005,0.1295408740639686
1,2,0.2,0.11455505789399725,0.1990310394205153,0.12153925746679303
2,2,0.2,0.17489553149574485,0.27805385440588,0.18801725804805752
3,2,0.2,0.1977194241425178,0.2492355152964592,0.11466215178370472
4,2,0.2,0.20717560848216868,0.25872917175292964,0.10226807966828341
5,2,0.2,0.20846291336988326,0.26214350908994677,0.13602703288197518
6,2,0.2,0.22258322479864168,0.2718549460172653,0.11790080890059465
7,2,0.2,0.2268167048540916,0.26503809243440624,0.11361442059278484
8,2,0.2,0.22277099697026256,0.2667559638619423,0.11397766619920727
9,2,0.2,0.21433041248349327,0.2567340314388275,0.1118573725223541
10,2,0.2,0.21991077240042914,0.269130527973175,0.12033902108669277
1,10,0.2,0.12660008440819773,0.19032993607688692,0.10186376417987045
2,10,0.2,0.19566317076357395,0.37039782404899596,0.20396511256694788
3,10,0.2,0.19415981059977735,0.33125019371509545,0.20598749071359634
4,10,0.2,0.18990078576570593,0.31567156314849854,0.15410008132457728
5,10,0.2,0.20662152077473817,0.315420526266098,0.16248528808355328
6,10,0.2,0.20391405273184832,0.29796063601970674,0.1460647389292717
7,10,0.2,0.2030643012933456,0.2730667024850845,0.16310945302247998
8,10,0.2,0.20241849629816705,0.25914238691329955,0.1577333092689514
9,10,0.2,0.20991496452967415,0.2730614736676216,0.16110056936740874
10,10,0.2,0.20642866008805685,0.21877572536468506,0.13889230042695994
1,5,0.25,0.08468212234162852,0.18941757676657284,0.14327962602255861
2,5,0.25,0.12813022003068686,0.231329268310219,0.1330345497932285
3,5,0.25,0.16858424748804318,0.26324923336505884,0.18572034686803812
4,5,0.25,0.16121558668553135,0.22581736296415325,0.11524729132652278
5,5,0.25,0.1643592260428621,0.2206394791603088,0.13232423067092894
6,5,0.25,0.17373612137157451,0.25150178074836727,0.12460951209068294
7,5,0.25,0.1798656175772618,0.22687871754169459,0.12817311286926264
8,5,0.25,0.17069948736155133,0.21966440975666046,0.1219217419624328
9,5,0.25,0.19370287971344638,0.20324937701225276,0.1228342860937118
10,5,0.25,0.19358482722077947,0.18829966187477104,0.12823728322982783
1,2,0.25,0.10323500663969834,0.18349192868918177,0.11622062847018237
2,2,0.25,0.1561546403074158,0.26028850972652434,0.17930748909711833
3,2,0.25,0.17296293269545462,0.23517302274703974,0.11025783419609066
4,2,0.25,0.1817182138644976,0.24392407089471813,0.09797973781824107
5,2,0.25,0.184086316832677,0.2496925070881843,0.1301199570298195
6,2,0.25,0.19430543188803084,0.25684089213609695,0.11224726736545557
7,2,0.25,0.19826464356570644,0.25212796479463573,0.10931511521339413
8,2,0.25,0.19343637244774511,0.25215166807174677,0.10970944315195082
9,2,0.25,0.18771418945251006,0.24310750067234035,0.10854113996028895
10,2,0.25,0.19475942921798978,0.2573669105768203,0.11722445189952846
1,10,0.25,0.12395888757654386,0.18537909795995794,0.09976805313490328
2,10,0.25,0.19297289709752086,0.3607570767402649,0.19743985086679453
3,10,0.25,0.19207818219612047,0.32370087802410125,0.20165650248527528
4,10,0.25,0.18789517976533487,0.3100444734096527,0.15136345475912089
5,10,0.25,0.20399824981204354,0.3070942312479019,0.16026241853833192
6,10,0.25,0.1991818381170455,0.2904029995203018,0.14338459819555277
7,10,0.25,0.1985042401459826,0.26862826943397516,0.15993505418300624
8,10,0.25,0.19639104268657798,0.2543449997901916,0.15670065432786934
9,10,0.25,0.20566367789150258,0.26608228534460066,0.16028694063425059
10,10,0.25,0.20068611899699987,0.20929756164550778,0.13729575723409648
